timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-12-24,135.61,135.62,134.61,134.98,111.143095253,1202087,0,1
2019-12-23,135.78,136.15,135,135.55,111.612435632,2803158,0,1
2019-12-20,135.74,136.42,134.95,135.59,111.645371799,7111779,0,1
2019-12-19,134.46,134.73,134.19,134.56,110.797265501,3866494,0,1
2019-12-18,134.55,135,134.15,134.41,110.673754875,3101819,0,1
2019-12-17,134.28,134.69,133.46,134.22,110.517308082,2907186,0,1
2019-12-16,134.94,135.45,133.85,134.13,110.443201706,3049224,0,1
2019-12-13,134.75,135.5,134.01,134.21,110.50907404,2534970,0,1
2019-12-12,133.7,135.66,133.66,135.32,111.423052672,4824103,0,1
2019-12-11,134.11,134.51,133.67,133.76,110.138542162,3698494,0,1
2019-12-10,133.92,134.84,133.56,133.91,110.262052788,3478362,0,1
2019-12-09,133.35,134.59,133.26,133.92,110.27028683,2968310,0,1
2019-12-06,132.75,133.89,132.7,133.22,109.693903909,3437438,0,1
2019-12-05,132.99,133.24,131.63,131.91,108.615244443,3595312,0,1
2019-12-04,132.86,133.68,131.96,131.99,108.681116776,3530028,0,1
2019-12-03,132,132.44,130.69,132.12,108.788159319,3708102,0,1
2019-12-02,134.45,134.5,132.48,132.91,109.438648616,3066813,0,1
2019-11-29,133.6,134.52,133.03,134.45,110.706691042,1825255,0,1
2019-11-27,135.35,135.71,133.62,133.77,110.146776204,3280699,0,1
2019-11-26,136.15,136.15,134.77,135.09,111.233669712,3806859,0,1
2019-11-25,134.47,136,134.35,135.97,111.958265384,2590146,0,1
2019-11-22,134.19,134.65,133.59,134.34,110.616116583,3297397,0,1
2019-11-21,133.4,134.17,132.98,133.84,110.204414496,3322158,0,1
2019-11-20,134.06,134.46,132.75,133.2,109.677435826,4138165,0,1
2019-11-19,134.88,135.38,134.46,134.52,110.764329334,2995004,0,1
2019-11-18,134.3,134.48,133.23,134.31,110.591414458,3210383,0,1
2019-11-15,134.39,135.12,134.03,134.4,110.665520833,3262504,0,1
2019-11-14,134.13,134.33,133.33,134,110.336159164,4231231,0,1
2019-11-13,135.39,135.58,133.85,134.48,110.731393167,3060919,0,1
2019-11-12,135.87,136.66,135.02,135.59,111.645371799,3046496,0,1
2019-11-11,137.2,137.2,135,135.47,111.546563298,2568022,0,1
2019-11-08,137.58,137.61,136.16,137.61,113.308648228,2278446,0,1
2019-11-07,137.87,139.14,137.58,137.69,113.374520562,4073697,1.62,1
2019-11-06,138,138.78,137.55,138.78,112.943191182,4476362,0,1
2019-11-05,137.8,138.76,137.63,137.89,112.218883356,3012926,0,1
2019-11-04,136.24,137.74,136.23,137.67,112.039840972,3333510,0,1
2019-11-01,134.5,135.56,134.09,135.53,110.298246872,3088769,0,1
2019-10-31,135.11,135.25,133.23,133.73,108.833354639,3410851,0,1
2019-10-30,133.83,135.28,133.2,135.25,110.070374747,2252680,0,1
2019-10-29,135.42,135.57,133.44,133.82,108.90659925,4158483,0,1
2019-10-28,136,136.63,135.45,135.97,110.65633164,3225692,0,1
2019-10-25,134.12,135.93,134.1,135.44,110.22500226,2577995,0,1
2019-10-24,134.83,135.07,133.3,134.07,109.110056505,2619190,0,1
2019-10-23,133.52,134.57,132.7,134.38,109.362343501,3626724,0,1
2019-10-22,132.55,134.05,131.61,133.96,109.020535313,4193653,0,1
2019-10-21,132.61,133.1,130.9,132.58,107.897451268,6370639,0,1
2019-10-18,134.22,134.49,132.25,134.09,109.126333085,7177468,0,1
2019-10-17,135,136,132.91,134.26,109.264684019,15824614,0,1
2019-10-16,142.49,142.95,141.39,142.11,115.653241813,5835941,0,1
2019-10-15,142.54,143.72,141.81,143,116.37754964,3044933,0,1
2019-10-14,142.31,142.43,141.32,142.04,115.596273782,2325055,0,1
2019-10-11,142.77,144.5,142.61,142.76,116.182230675,3015458,0,1
2019-10-10,139.77,141.78,139.56,141.13,114.855689375,2619287,0,1
2019-10-09,139.77,140.33,138.79,139.67,113.667499008,2631860,0,1
2019-10-08,140.24,140.47,138.25,138.38,112.617659575,3342266,0,1
2019-10-07,142.26,142.7,141.22,141.28,114.977763728,2487737,0,1
2019-10-04,142.06,143.06,141.03,142.99,116.36941135,2447901,0,1
2019-10-03,141.62,142.07,139.18,142.02,115.579997202,3138743,0,1
2019-10-02,142.19,142.27,140.57,141.69,115.311433626,3347129,0,1
2019-10-01,145.59,147.35,143.54,143.66,116.914676792,2973628,0,1
2019-09-30,143.73,146.57,143.73,145.42,118.347015865,4004019,0,1
2019-09-27,144.41,145.09,142.38,143.24,116.572868604,2356682,0,1
2019-09-26,143.17,143.88,141.41,143.55,116.8251556,2313892,0,1
2019-09-25,141.74,143.63,140.86,143.16,116.507762283,2544628,0,1
2019-09-24,142.5,142.89,141.07,141.68,115.303295336,3311403,0,1
2019-09-23,141.19,142.22,140.56,142.07,115.620688653,1849558,0,1
2019-09-20,143.25,143.83,141.82,141.88,115.466061139,5217726,0,1
2019-09-19,142.46,145.03,142.45,142.97,116.353134769,3181790,0,1
2019-09-18,142.05,142.3,140.51,142.22,115.742763006,1994714,0,1
2019-09-17,142.48,142.48,140.66,142.2,115.726486425,2940494,0,1
2019-09-16,142.56,143.64,142.27,142.48,115.95435855,1928269,0,1
2019-09-13,144.32,144.65,143.26,143.67,116.922815082,2206605,0,1
2019-09-12,144.03,144.04,141.88,143.62,116.882123631,2504162,0,1
2019-09-11,144.85,145.12,142.71,143.6,116.865847051,3867963,0,1
2019-09-10,143,145.46,142.96,145.05,118.045899128,4979341,0,1
2019-09-09,140.59,143.02,140.46,142.6,116.052018033,4218622,0,1
2019-09-06,141.52,141.53,140.46,140.57,114.399945125,2576441,0,1
2019-09-05,138.3,141.7,138.05,140.97,114.725476732,5011628,0,1
2019-09-04,135.71,136.43,135.15,136.32,110.941171797,2247924,0,1
2019-09-03,134.85,134.9,133.33,134.1,109.134471376,2827919,0,1
2019-08-30,135.58,136.07,134.36,135.53,110.298246872,2960594,0,1
2019-08-29,134.18,135.69,134.04,134.88,109.76925801,2972842,0,1
2019-08-28,130.44,132.89,130.04,132.76,108.043940491,2713251,0,1
2019-08-27,131.2,131.7,130.31,131.17,106.749952352,4728392,0,1
2019-08-26,131.05,131.3,129.16,129.99,105.78963411,2836837,0,1
2019-08-23,133.63,134.26,128.83,129.57,105.447825922,4818759,0,1
2019-08-22,134.69,135.68,133.81,134.32,109.31351376,2695009,0,1
2019-08-21,134.96,135.94,133.8,134.25,109.256545728,2806774,0,1
2019-08-20,135.24,135.28,132.81,133,108.239259455,3018934,0,1
2019-08-19,134.88,136.33,134.88,135.04,109.899470653,3165436,0,1
2019-08-16,133.04,134.59,132.95,133.76,108.857769509,3011993,0,1
2019-08-15,131.22,132.37,130.25,131.92,107.360324115,3738945,0,1
2019-08-14,133.91,134.16,130.98,131.25,106.815058673,5114159,0,1
2019-08-13,133.8,136.57,132.81,135.79,110.509842417,4551170,0,1
2019-08-12,135.66,135.87,133.18,134.12,109.150747956,4516866,0,1
2019-08-09,139.27,139.31,135.35,136.13,110.786544283,5244594,0,1
2019-08-08,138.45,140.42,137.76,140.1,114.017445486,5261444,1.62,1
2019-08-07,138.74,139.58,136.41,139.11,111.917632244,5931883,0,1
2019-08-06,142.03,142.47,139.31,140.73,113.220964601,5070650,0,1
2019-08-05,144.98,145.1,139.15,140.76,113.245100386,7114871,0,1
2019-08-02,149.03,152.95,145.59,147.25,118.466475077,8101720,0,1
2019-08-01,148.9,152.82,148.5,150.32,120.936370347,6344006,0,1
2019-07-31,149.7,150.18,146.39,148.24,119.262955962,3722907,0,1
2019-07-30,150,150.4,149.22,149.77,120.493880966,2632726,0,1
2019-07-29,151.11,151.48,150.32,150.88,121.386904989,2075528,0,1
2019-07-26,151,151.41,150.1,151.36,121.773077539,2904494,0,1
2019-07-25,149.82,150.62,148.61,150.39,120.992687177,3102113,0,1
2019-07-24,150.12,151.45,149.2,150.03,120.703057764,2952435,0,1
2019-07-23,150.57,150.72,148.38,150.38,120.984641915,3742204,0,1
2019-07-22,150.16,151.94,149.7,149.74,120.469745182,4093239,0,1
2019-07-19,149.96,151.58,149.55,149.68,120.421473613,7290678,0,1
2019-07-18,142.5,150.31,142.2,149.63,120.381247305,12695387,0,1
2019-07-17,143.61,143.8,141.95,143.07,115.103555784,6064265,0,1
2019-07-16,143.17,144.04,143.02,143.53,115.473637812,3474688,0,1
2019-07-15,142.89,143.51,142.12,143.32,115.304687321,2368309,0,1
2019-07-12,141.92,142.92,141.66,142.74,114.838062156,2786276,0,1
2019-07-11,140.79,141.58,140.3,141.24,113.631272936,2133327,0,1
2019-07-10,140,141.91,139.79,140.47,113.011787803,2513931,0,1
2019-07-09,140.61,140.99,139.13,139.33,112.094627996,3365227,0,1
2019-07-08,141.05,141.29,140.27,140.57,113.092240418,2395487,0,1
2019-07-05,140.87,141.49,139.91,141.38,113.743906597,2135085,0,1
2019-07-03,140.72,141.82,140.43,141.54,113.87263078,1930361,0,1
2019-07-02,139.75,140.43,139.47,140.22,112.810656267,2410092,0,1
2019-07-01,139.6,141.49,139.28,139.88,112.537117377,3387184,0,1
2019-06-28,138.57,139.14,137.84,137.9,110.944155607,6154039,0,1
2019-06-27,138.72,139.3,137.95,138.52,111.442961817,2149824,0,1
2019-06-26,138.87,139.68,138.41,138.52,111.442961817,2284567,0,1
2019-06-25,139.46,139.55,138.13,138.36,111.314237634,2801251,0,1
2019-06-24,139.2,140.15,139.05,139.35,112.110718519,2186137,0,1
2019-06-21,138.44,139.54,138.39,139.2,111.990039597,5288759,0,1
2019-06-20,138.93,139.54,138.2,138.85,111.708455446,3071017,0,1
2019-06-19,136.43,138.36,136.24,137.08,110.284444166,2382520,0,1
2019-06-18,135.2,137.19,135.2,136.38,109.721275864,2914698,0,1
2019-06-17,135.39,136.03,134.7,134.95,108.570803474,2194129,0,1
2019-06-14,135.44,135.88,134.43,135.15,108.731708704,2193367,0,1
2019-06-13,135.13,136.27,135.09,135.76,109.222469653,2955419,0,1
2019-06-12,135.56,135.94,134.41,134.87,108.506441383,2254741,0,1
2019-06-11,135.32,136.46,135.05,135.95,109.375329621,3407345,0,1
2019-06-10,134.38,135.35,133.91,134.74,108.401852984,2911327,0,1
2019-06-07,132.47,134.72,132.21,133.31,107.251380594,2553398,0,1
2019-06-06,132.19,132.65,130.9,132.22,106.374447094,2298248,0,1
2019-06-05,133.38,133.61,130.47,131.49,105.787143007,3161584,0,1
2019-06-04,129.56,132.74,129.09,132.69,106.752574383,3913535,0,1
2019-06-03,127.1,128.56,127.06,128.27,103.196568816,4267080,0,1
